0,1,2,3,4,5,6,7,8,9
NR2C1,EIF2B1,PUS7,KIAA0101,SUV420H2,EIF2S1,PAFAH1B1,GMPR,ABHD13,SUV420H2
EIF2S1,MRPS33,FRY-AS1,DDI2,TBPL1,FAM120A,ZNF45,LUC7L,SPRY1,TMEM165
ZNF615,HENMT1,INTS2,NFAT5,ZNF747,ASXL2,ATP6V1F,TRPM4,TMTC2,CUL4B
RPUSD3,RP11-400F19.6,FAM120A,RP1-111C20.4,SRSF6,ADAM10,DICER1,TFAM,RNASEH2B,MESDC2
RPS19BP1,RP4-612B15.3,TBC1D23,NNT-AS1,RAB2A,GRSF1,TMEM87B,CCL3,RP11-102N12.3,ISY1
PCNX,TDG,JAGN1,CD2AP,PEX26,RAB21,RDH14,PI4KB,KIF3A,BNIP2
NAPA-AS1,AIM2,DDAH2,WARS2,LRBA,OTOF,MYOM2,MIS18BP1,HCFC2,CCL5
AC010642.1,MYO1E,CECR5,TDG,TMEM116,FRY-AS1,JAZF1,DDX17,RP11-66N24.3,SCP2
MPHOSPH10,RP11-211G3.2,RP13-270P17.3,CUL4B,SOX13,C4orf33,IER3,ABHD12,GPR84,GSTZ1
PIGF,KIAA0101,LONRF1,PDIA5,PPT2-EGFL8,TGOLN2,SDCCAG8,RPPH1,GPR183,RRS1
GTF2B,ATP8B3,RABIF,STMN1,TMEM18,CHMP4A,FXN,TREML2,C12orf45,PLRG1
PRKD2,TMEM40,SENP2,DHX8,HEMK1,RNF14,TMEM199,SIK1,NR2C1,PHF3
RABIF,DPY19L4,RSPH9,RP11-400F19.6,SLC35A2,COMMD10,DPY30,RMND5A,RP11-87C12.2,CDC37
ABCC10,LYPD2,ZNF436,LYRM4,COMMD4,METTL21A,KIF3C,DIS3,PAWR,SURF1
PAFAH1B1,PPT2-EGFL8,C5AR2,ZNF799,GPS1,IL1B,AP4B1-AS1,CHMP4A,ATXN7L3B,TMEM222
TMEM199,LINC00494,OTOF,ARHGAP6,SERAC1,IL8,ATP8B3,GYG1,DIMT1,PDHB
RRAGC,RP11-960L18.1,STK38,ARHGAP18,EAPP,CLU,AP001462.6,PTGDS,RP11-701P16.5,FAM96A
SDAD1,ZNF436,DNAJC2,DSCR3,RP11-792A8.4,TMEM80,PARS2,CTNND1,AF213884.2,REEP3
PLCL1,C1QC,APH1B,SLC48A1,SLFN5,ALKBH7,GOSR2,TCEA2,RP11-18H21.1,TMEM199
WBP2NL,TREML1,RPUSD4,DDX17,SPIRE2,GOSR2,ADNP,GLB1,PWP1,MED28
SPATA7,ELANE,HAVCR2,SNRNP27,RCE1,NFATC1,VMAC,DDB2,PIK3R1,ZNF330
PIGU,FRMPD3,SETX,SRPR,WDYHV1,NDUFB8-1,DCAF8,ANTXR2,OSTC,ZC3H15
RMDN3,CD160,SLC39A1,TRIM23,C14orf1,SND1,RAB9A,EIF1B,CLIP1,DESI1
C16orf52,DLEU7,FAM32A,DHX34,IRAK4,FRAT1,UCK1,NSMAF,PALLD,MPP6
DLST,CLDN5,RAB8B,FH,PKN2,TCTA,EID2,NKAP,MRVI1-AS1,DOK2
TMEM14C,CTD-2537I9.12,WDYHV1,PITPNA-AS1,AKR1C3,BAZ2A,HAGH,QSOX1,ZCCHC10,SAFB2
EHMT2,PROK2,GABARAPL2,AP4S1,RPUSD4,BBC3,PHKG2,PDIA3,PAX5,MTERFD2
NPHP3,FCAR,PALLD,AKAP8,PITHD1,MZT1,CD96,F11R,MPP6,ITGB7
NDUFS1,ARHGAP6,BAG4,SCAI,PCGF1,CYB561,NR2C2AP,RASD1,INIP,PLEKHB2
TMX2,LILRA4,GRSF1,BLZF1,IRF9,MCUR1,UBE3A,CCDC66,TRIM14,ACOT13
RNF25,SMPDL3A,CELF1,RP11-493L12.4,ZNF799,SCP2,RNF168,PLAGL1,SPIN1,KIAA0196
GRSF1,CEP128,RP11-488C13.5,RP11-252A24.3,GGNBP2,TRIM14,USP33,ST3GAL2,URGCP,SNW1
RP4-800J21.3,TTC8,C18orf21,SYP,TAOK2,LRCH4,SF3B1,DENND1C,POLD2,RALBP1
MKKS,ZNF175,ARRDC4,ATP9A,PSMA7,YWHAG,TPM2,C1orf86,FXN,ANKHD1
EIF2B1,SPATA6,EID2,RP11-378J18.3,SELPLG,CXCL3,GTF3A,FN3KRP,CD72,MIS18A
CTB-113I20.2,TRPM4,ATP10D,NDUFA10,C18orf21,WDYHV1,ETHE1,NAA20,RP11-493L12.4,TMEM102
VAMP8,RSPH9,OSBPL1A,LRRC59,LARS,ACBD3,THBS1,FXN,UBAP2,CCDC12
KLHL6,TSPAN33,PRPF8,ZNF350,LUC7L,PTGS1,C1orf198,YPEL3,CD274,SSBP3
PLEKHJ1,ANKRD9,CTC-378H22.1,TTC8,PHF12,ATG7,MARCH2,MMADHC,ABCB1,ING5
PLA2G12A,CDC42BPB,DPY19L4,DIS3,LILRA4,PHF3,ZNF468,BAG5,LYPD2,SIRT6
F5,C5AR2,CORO1B,RCN2,SEPT11,TMCO1,NME3,PILRB,PILRB,CDC16
SCAI,LRRIQ3,IDO1,C9orf3,CDK19,C1orf35,HIST1H1B,MKLN1,CTB-152G17.6,TRAF3IP3
ZNF195,SYTL4,HOMER2,LBR,MARCH5,TCEA2,SLC25A12,INTS12,NUDCD1,ZMAT5
PSMC4,AL928768.3,NT5M,EID2,SMS,ISOC2,RNF139,CEACAM4,SCAI,POLDIP2
BET1,CEACAM4,DRAXIN,ATXN3,FBXO33,THAP2,SNX5,TTC1,AC005082.12,R3HDM2
PDZD11,RP11-145M9.4,ATP8B3,RP4-612B15.3,NEFH,IL1RAP,PRNP,ZUFSP,PTGES2,PDCD2L
POLR3K,GPR84,CD274,SMARCD1,PRKACB,ACVR2A,PIGU,CLIC3,IL6,MRPS18A
PEMT,PLA2G7,CTTN,ZBTB41,CPQ,EAPP,NR3C1,EVA1B,MLLT10,RBM7
MFF,S100P,SHPK-1,YPEL3,FMO4,CHIC2,OLA1,BNIP2,GINM1,SRPR
ATAD3C,RP11-102N12.3,RP11-1000B6.3,CEP68,ARG2,MRPS23,HMGCL,TINF2,CDC123,RAB1B
DDI2,MRVI1-AS1,ST20,PPP2R1B,SH3BP1,FH,AAR2,SMS,NUDT5,MOB2
UBXN1,CLEC10A,ARPC4,SMIM7,MAP3K8,TRAPPC3,ZNF836,GINM1,TMEM242,DSCR3
TPM4,PRRG4,PTGES2,AC092295.7,ATP6V0E1,MARCH5,SELPLG,RGS18,WDR37,ATP6V0E2
C9orf69,RP11-428G5.5,MBNL1-AS1,PPP6C,NAA20,CASC7,ABI2,DICER1,IDI1,RBM48
RP11-5C23.1,CTC-428G20.6,ARHGAP24,RTFDC1,AURKC,PMF1,SAMD1,CYB5B,RP1-111C20.4,ICOS
TADA2A,BACE2,RAB21,RAD51B,U2SURP,HIST1H2AC,SLBP,SND1,CLIC3,ADD1
C17orf59,CYP27A1,YPEL3,MKLN1,C16orf80,SPG20,PSMA1,FAM96A,RABL6,PWP1
CDC16,YES1,CAT,CD47,KPNA1,EGFL7,NKAP,TRPV2,TNRC18,ATG4C
PHF3,CCL2,KIAA1429,KDM3B,AKTIP,TMEM60,C14orf80,TMEM50A,PHF14,MYO9B
ASXL2,AF213884.2,ST3GAL2,PAXIP1-AS1,RABIF,FADS1,7SK-2,KLF11,SURF1,SH2D1A
CLEC2B,DNAJC27,YTHDC1,YTHDC1,LONRF1,CELF1,ZNF559,TCEAL8,ARL4A,PPIL4
SOX13,ACPP,CTB-113I20.2,TNRC18,PSMC6,CRTAP,RP11-468E2.4,SH3KBP1,HDAC9,C17orf62
BOLA1,CLEC1B,RP5-827C21.4,R3HDM2,USP7,UQCC1,DDX1,SDAD1,ATP6V1C1,N4BP2L1
EFCAB14,RP4-781K5.2,UTP6,HIST1H2AH,ZCCHC9,NEFH,HPRT1,ZCCHC10,POLR2K,AP3M2
ZRANB3,SLC22A18AS,CES4A,NCR3,KIR3DL2,EMG1,SLC20A2,PITPNA-AS1,PNPLA8,VAMP8
FRY-AS1,AP001189.4,CNEP1R1,C17orf59,CLYBL,RBM7,ANAPC16,CARS,PTPRN2,PHF14
RBPJ,ENKUR,C17orf62,BMPR2,SNX17,ARG2,API5,SH3BP1,C1GALT1C1,AQP3
ELP6,RP11-701P16.5,PPT2-EGFL8,LTV1,EBF1,MADD,ATP6V1D,FASTKD1,CUL4B,CDV3
RAB9A,KCNE1,TACR2,TTC3,RP11-367G6.3,GBGT1,TCTA,FAM120C,HCCS,MGMT
FAM96A,RP1-111C20.4,GPS1,IQCH-AS1,TOMM40,SNCA,CTC-444N24.11,FAM43A,PRPS2,NNT-AS1
CTD-2537I9.12,SERPINF1,FAM96B,ATF7IP2,PIK3R1,VPS26B,BET1,YTHDF2,RAB9A,NKAP
PBLD,SOX13,MLEC,TARSL2,GTF2B,CDC16,ARRB2,GTF3A,REPS2,TMEM251
MPC2,CTTN,SLC25A14,ZNF628,PLEKHA3,ACPP,WDR37,FPR1,FRMPD3,WDR55
MRPL42,SEPT4,RP11-162G10.5,CHPF2,PDZD11,NFAT5,CPSF3L,DHRS4,MORF4L2,CAMK1D
ZNF559,RAMP1,DENND6A,ZNF528,ZFYVE28,SLC22A18AS,MAPK1IP1L,UBE2D1,BEX4,FEM1B
SPEN,PTGDR2,SPPL2A,MMD,CGRRF1,NFU1,KLHL24,LIN52,ARMCX5,SRSF6
DENND1C,BIRC5,CTD-2368P22.1,ZNF682,ARHGEF7,SDPR,ARIH2OS,RPL22L1,SH3KBP1,LYRM4
UNC45A,MACROD2,CA2,ST3GAL2,PITPNM1,NKTR,XXbac-BPG299F13.17,SSBP1,PJA1,APOBEC3B
RDH14,PTGS1,GFER,ZUFSP,GLYCTK,MORF4L2,GPKOW,STX11,MAGEH1,TINF2
SNHG7,TUBG2,GOSR2,PPP2CA,RRAGC,C14orf80,TBPL1,RXRA,KRBOX4,HCCS
DMTN,TGFB1I1,SRSF6,RP11-532F6.3,ATP6V0E2,PKN2,ARRDC3,SCFD1,PRAF2,DYNLL2
TMEM222,XPOT,KLF13,GOT2,ZNF333,DSCR3,C3orf18,KLC4,ARSD,RTFDC1
DHX15,CISD1,MRPL43,DOK3,PSMD14,STAU1,C16orf54,DOK3,RP11-5C23.1,BAG5
MYADM,SLC2A13,DMAP1,SMC2,NKAP,SUOX,MIS18A,PLA2G12A,MTERFD1,DCP2
GPKOW,PDCD2L,SLC6A6,ZNF587B,MKLN1,SLA,PACS1,TNRC18,PDZD4,SNX17
HOOK2,UCK1,HMGXB4,ZNF436,WDR91,DERL1,FAM107B,MARC1,DPY19L4,HLA-DPA1
UBE3A,C16orf80,NUDT1,LGALSL,ZBTB41,IP6K1,TPM4,CSNK1A1,KIAA1429,HDDC3
DNMT3A,MRE11A,GMPR2,BGLAP,FNTA,SPG7,ELOF1,R3HDM2,ZBTB10,NDUFS1
RWDD4,SERAC1,FYB,RCHY1,AC010642.1,C1orf50,ZNF92,AC010642.1,STAU2,SARS
C1GALT1C1,ATG4C,TPM1,CHERP,THOC7,ANKRD22,TMEM138,CDC16,RP5-894A10.2,ORMDL2
C16orf54,C1orf186,ADNP,PDK2,USP38,KCNE1,CDK16,SLC19A1,SSBP1,COQ7
NAA25,SYP,PRUNE,C1orf35,KARS,UTP6,PEX19,TMEM91,AP3M2,METTL21A
DTX3,C2CD4D,TPM4,CD9,MRPL1,SIRT6,C4orf33,AGO4,RP11-589C21.6,GNLY
GABARAPL2,ARHGAP11A,ARHGEF7,ST20,AP4S1,DPY19L4,DNAJC10,PLEKHJ1,IDO1,EIF3D
TBCB,ZNF594,UBE2E1,CCDC94,RP11-141B14.1,OXLD1,C21orf33,ELP6,BAG4,AATF
MAF1,RP11-493L12.4,ZNF350,VMAC,RP11-139H15.1,UBLCP1,TNFRSF9,SLC27A1,HMBOX1,VAPA
LRRC59,CORO7,FBXL14,PTGS1,NNT-AS1,PSMA1,CXXC1,ARGLU1,ADAM28,PARP1
VTI1B,KRBOX4,C10orf32,ANTXR2,GTPBP6,RNF168,ATAD1,METTL8,GIMAP5,POLR3E
BBX,DMTN,TMEM251,FASTKD1,PPP2R1B,C1QC,ZNF32,RPN2,FBXO25,EIF1B
C16orf13,HIST1H2BD,MARCH2,QRICH1,NME3,PIGF,LMF2,MCUR1,CHPF2,PPIE
NFAT5,TMEM60,SLC35A1,SNAP47,DDI2,WDR44,NDUFC2,TNNI2,PPIL4,BZRAP1-AS1
MMADHC,ATP5H,YEATS2,RHEBL1,RPUSD3,ZNF330,TRAF3IP3,SMCO4,RP11-324I22.4,RFC1
PRPS2,PUS7,RTFDC1,EIF5B,LYPLA1,PSMG2,PLRG1,BET1,RP11-162G10.5,PARL
FAM32A,GDF11,FEM1B,FAM63B,EMG1,CIDEB,SEPT11,DDX1,PCSK7,SDHAF2
PRDM2,C3orf18,RP11-792A8.4,BAG4,HDDC3,PELI1,TMX3,TMED5,TTC1,ACTR6
PLD6,TMEM116,ANKRD9,ZNF195,RBM4,MLEC,BCDIN3D,HDLBP,RARS,RIT1
USP20,TRIP12,YPEL2,FEM1A,EFCAB14,MPC2,SMARCD1,ATP10D,PRSS23,UBXN4
BLZF1,OXLD1,RMND5A,USP33,NDUFB8-1,TMEM62,EHMT2,ISY1,SYTL2,MT-ND5
MID1IP1,FANCI,TSPAN33,MAT2A,FAAH,ARHGAP18,HIST1H2BD,TSPAN15,NDUFC2,ARHGAP11A
HCFC2,SIRT1,RFNG,RPS6KL1,MLEC,BAG5,DDX56,RBM4,RP11-111M22.3,TMEM14C
PJA1,UBE2Q1,BMPR2,PIGU,ZNF276,MPV17,FAM120C,MARCKSL1,RGS14,CXCR1
RBBP6,NARS,GID8,DTYMK,EVA1B,PDZD11,EVA1B,PDXDC1,PGM2L1,GPATCH4
PCNA,BTN3A2,CLEC1B,SDAD1,RP11-493L12.4,ENKUR,SMARCC2,HLA-DOB,FOLR3,RP11-324I22.4
TMEM87B,SRP72,NDUFS1,CCNG1,C1QC,RSPH9,NIT2,SPG7,DOK3,PPIL2
NONO,ARL16,TTC28,AC074138.3,CTD-2302E22.4,C5AR2,ZC3H15,ITSN2,SCGB3A1,LAT2
MFSD10,FAM210B,TUBG2,RBM39,RP11-252A24.3,ADD1,DCAF5,MMD,RCE1,CD79A
GPATCH4,NSMAF,RP11-178G16.4,YEATS2,C1orf186,TPD52L2,CHERP,ARL2,RIOK1,HIST1H2AH
LBR,TNFRSF25,PITPNM1,ELL,LINC00957,DAGLB,GIMAP4,TRIP12,PACS1,SAMD12
TBPL1,SIVA1,SIVA1,GTPBP2,UBE3A,ZC3H15,ADIPOR2,CHD7,SYVN1,CYB5B
COMMD10,SLC35A2,CITED4,ISG20L2,WHAMM,ANKRD9,RFC5,STUB1,RBM7,NEFH
PACS1,KIAA1429,CLNS1A,IFIT2,OBSCN,BABAM1,LIN52,CELF1,CEP164,ARF6
SMC2,TUBB1,TDRP,POLDIP2,PLEKHA1,TMBIM6,IL32,TAF6L,PTGDR2,TTC8
PGRMC2,C15orf61,AC074138.3,SUV420H2,TTPAL,FEM1A,NONO,C1GALT1C1,LARS,RP11-496I9.1
GDF11,ATP5SL,TINF2,TCEAL4,POLDIP2,AATF,MRPL19,LAMP2,C5orf15,FBXL14
FHL1,TRIM16L,RBCK1,CCDC66,RBM48,HDAC2,CDC42EP3,SRSF5,CTB-113I20.2,CD72
STAMBP,PEX26,RNF168,MMADHC,ZCCHC10,NIT1,CEP164,RP11-1055B8.7,LRRK2,SIAH2
C1orf35,BLCAP,SHOC2,IDO1,HIST1H2BD,PNPLA8,C2orf76,TMEM87A,SLC2A13,SNAP47
ALG5,SPSB2,F11R,SNTA1,ATXN10,LIN52,LINC01003,PLRG1,RP11-428G5.5,VTI1B
MRPL1,IFI27,MIS18BP1,MNAT1,TMEM165,KLHL6,MUM1,AAR2,DDX46,ATAD3C
PRMT2,USP30,PXMP4,RP5-827C21.4,ST20,GGA2,TAPBP,RER1,TM7SF3,RPS6KL1
TANGO6,GTF2B,RP11-468E2.4,ZNF653,EIF5,EFCAB14,TBC1D15,HMBOX1,GOLT1B,ACTL6A
RP1-28O10.1,NAA25,SAMD9L,TEX2,KLRC1,U2SURP,DENND6A,SF3B1,CLEC2B,STK38
CTNNAL1,COPS4,PGM1,CTC-428G20.6,CTNNAL1,PLA2G4C,DIS3,MMP9,KLRB1,PGRMC2
RBM5,FAM63B,AGPAT1,ARHGAP19,ZC3H15,KIF3C,BLZF1,CDC40,CD163,OAS1
ZNF628,RP4-800J21.3,PPIB,DRAXIN,N4BP2L1,CTC-428G20.6,C16orf13,DNAJA1,RNF14,PIGF
SLA,RP11-545I5.3,SETD5,CD274,IQCE,ARHGAP19,DMAP1,CTD-2006K23.1,NR3C1,MZT1
DOHH,SMC2,ZNF212,HP,PBRM1,ITPA,XPNPEP1,NDUFA12,YIPF5,LZTS2
RAB11B,ITSN2,FH,SHPK-1,MLLT10,RP11-87C12.2,GUCD1,PRPF8,ADIPOR2,OSBPL1A
RFNG,EHMT2,FANCI,CXCR1,URB2,AC010642.1,TRUB2,SMARCD1,TAF6L,LYSMD4
TMEM177,HMBOX1,UBE2Q1,C3orf38,IL24,UBE2E1,MED9,WDYHV1,HIST1H1B,PASK
TCTA,MKLN1,PSMG2,CCDC115,PRUNE,HMGXB4,PCGF1,RP11-141B14.1,ZNF32,COPS4
RP11-432I5.1,ITGB3,ELP5,HIST1H2BJ,DPH6,PI4KB,PI4KB,SDHAF2,PLA2G7,ECSIT
MTRF1,ST3GAL3,CUL4B,SIRT6,RPPH1,PACSIN2,NELFB,ORAI1,CD2AP,NARS
ADSL,C1GALT1C1,NMNAT3,MAP2K7,NOL11,PEX26,AP4S1,RFC1,ARHGAP19,UCK1
TRIM23,PDIA5,UCK1,MUM1,ANTXR2,SEPHS2,CRLS1,HOMER2,LYRM2,EOGT
MRPL51,NECAB3,ZNF263,SPG7,SARS,DDX56,CISD1,RP11-1000B6.3,EXOC6,LRRIQ3
RFXANK,ZNF404,RP11-324I22.4,ARIH2OS,KLF13,SHOC2,NUDT16L1,C12orf10,IFIT2,AL928768.3
GBP4,METTL3,STT3A,INTS2,SAMD9L,HMBOX1,SKAP2,TTC8,ATAD1,CPNE5
LINC00342,ZNF561,EIF5,MAP3K7,CHI3L2,SH3KBP1,PTPRN2,FADS1,CEP85L,UBLCP1
IRAK4,RAB38,AIM2,ATP5SL,NDUFA10,LINC01003,MLX,SNTA1,SMPDL3A,SMDT1
RNASEH2B,NFE2L2,WARS2,ATXN7L3B,RP11-545I5.3,CDC123,COMMD10,TMEM141,CAMK2G,ARL16
JKAMP,YPEL3,C5orf15,B4GALT4,MAPK1IP1L,TYW5,R3HDM1,PRKAR2B,RP3-325F22.5,CPSF3L
MTIF2,GARS,ZNF561,CTC-444N24.11,FKBP3,C1GALT1C1,VPS28,SLC22A4,HNRNPH3,TMEM189
STUB1,MGA,IL1RAP,ZNF567,EARS2,USP33,LPIN1,SPATA7,REEP3,RP11-145M9.4
YIPF5,NOL11,GOLGB1,SIK1,ERI3,CTD-2368P22.1,CCDC22,FIZ1,TFAM,CTNND1
ABHD12,PSMG2,WDR91,IL16,THYN1,SLC22A4,LRIG2,UBB,PLAGL1,TFAM
FAAH,DNAJC2,LRRC59,CDC16,BCL2A1,WDFY3,TXNDC17,SMAP2,ZFAND4,TAPBP
COMMD8,RNF26,C14orf80,IFT20,KIF5B,RP1-315G1.3,CHPF2,MPV17,TRIM8,GLB1
CASC3,BCDIN3D,ADIPOR2,ZNF559,XPOT,NBR1,C16orf52,ARF4,SHOC2,SLC16A5
DNAJA3,RCN2,CRTC2,NAA25,ADIPOR2,RP11-701P16.5,TMEM104,RP11-960L18.1,MTCH2,NUPL2
C5orf15,CTA-29F11.1,IDH2,ZNF330,STX16,PGRMC1,ITPA,TRIT1,PRDX3,RMDN3
TMEM60,PI4KB,MRE11A,ERCC6L2,C9orf37,ABHD12,GARS,AEBP1,IER3,ZRANB3
SEPT11,ZUFSP,FEM1A,FAM173A,WDR55,PBRM1,PDCD2L,GAS2L1,PRRG4,FBXO21
CEP85L,DHX8,GYS1,TNK1,KCTD10,C21orf33,MADD,DDX46,PPT2-EGFL8,PACSIN2
ZNF350,PDZK1IP1,SAMD4B,COMMD10,PAFAH1B1,CEP85L,U2SURP,RP11-142C4.6,HLA-DOB,HOPX
NF1,LGALSL,DDX46,PEX16,PEMT,PTGES2,TMEM102,STOML2,HLA-DMB,OXLD1
DCAF8,PBLD,ZNF594,PLEKHA3,DHX9,SNX14,GIT2,SNX20,ZNF195,LDOC1L
IGFBP4,RP11-390B4.5,RP11-252A24.3,TBC1D23,CTD-2537I9.12,ERI3,ANKRD27,WHAMM,RGL2,GCA
DNAJC15,SPRTN,SYP,STAU2,ZNF436,SCGB1C1,STRA13,PRDX1,SLC22A18AS,FOPNL
DEDD,PBRM1,LINC00957,LINC01003,C5AR2,PGM2,TTC1,DISP1,TMEM80,HAVCR2
OXLD1,AL590452.1,RPS19BP1,VAPA,TTC30A,PSMD14,TPD52L2,PTGDR2,STK38,QRICH1
DDX56,ELOF1,GNPAT,SEC31A,RIN2,HOOK2,ARSD,NR2C2AP,SYCE1,MARCH5
NFE2L2,PPP2R3C,TTC8,DPY30,FBXO25,TIMM22,INVS,NOL11,OARD1,PRR5L
GOLGB1,DIS3,ISG20L2,SNW1,C1orf50,SPRTN,OARD1,F13A1,TREML2,CCND2
IDI1,CEP164,MGMT,NONO,ZNF175,SLC50A1,PGM1,DYNLL2,RPL7L1,C9orf142
INTS12,C21orf33,COMMD4,RP11-349A22.5,HEXIM2,LMF2,ACTR6,LPIN1,KLC4,RP11-87C12.2
PEX26,POLD2,ARHGDIA,ACTL6A,ANKRD9,DDT,NDUFA2,DAGLB,GZMH,CDKN2A
AF213884.2,SPIN1,C9orf69,RP1-28O10.1,RIT1,ST7L,MED30,PTGES2,RP11-390B4.5,ARID4A
PRELID2,THUMPD3,NEFH,RAB11B,LIX1L,GABARAPL2,LAMTOR5,RABIF,SCFD1,EMG1
WHAMM,FAM98A,ASXL2,CARHSP1,MRE11A,RELB,IL1RAP,MTIF3,PTPN7,RP4-612B15.3
ZBTB10,TAOK2,FAM120C,NOL7,PPIL2,FAM212A,RBM4,LYSMD4,PXMP4,ASB8
RBM48,LSM14A,CDC16,DCP2,UBA5,NXT2,PRDX4,C19orf33,SOX13,WDYHV1
GYS1,AP4S1,CRLS1,VPS13C,FOSL2,C5orf15,MMADHC,RP5-894A10.2,CR1,SNRNP35
POMT1,PJA1,TAOK3,FBXO7,DDX46,TAF6L,SEC31A,TAOK2,G0S2,NOL11
C2orf76,CCP110,ZNF404,LARS,ACADVL,CLEC2B,SRA1,PUM1,CD93,EVA1B
TMBIM4-1,HNRNPH3,DEDD,TRIT1,SURF6,ATXN7L3B,ZNF628,TRAPPC12-AS1,LPGAT1,RP5-1028K7.2
ACTL6A,BRAT1,EXOC6,TM7SF3,MTRF1,LYRM2,EIF2B1,NEFH,DISP1,GSN
TOR1A,EXOC4,SPATA6,EWSR1,UIMC1,GGA3,NUPL2,RP13-270P17.3,MACROD2,TTN-AS1
VTI1A,PPP2R1B,R3HDM2,C16orf80,TIMMDC1,FLJ27365,TMED4,TTC3,TASP1,HLA-DMA
PHKG2,TRIM8,BBC3,TMEM87A,RARS,CCP110,MRS2,VTI1B,PRNP,TMX2
NFATC1,IGFBP4,NME3,TAL1,MICU1,RP11-398C13.6,SLC25A14,ZBTB41,ACBD3,TKTL1
DIS3,ANKRD27,BCL2A1,SPHK1,NAP1L4,IDH1,AGO4,OSBPL1A,PARP1,RAD51B
C3orf38,TAF12,WDR45,PBLD,CAMK2G,BANP,TNFRSF1B,KARS,RP11-314N13.3,NUP54
EXOC4,AKAP8,TOP2B,BIRC5,ZFAND4,MAT2A,IFI44,ACPP,SNAP47,CHI3L2
CSRP1,ZBTB41,ZBED5-AS1,C16orf52,SF3B1,PPBP,WARS2,DERL1,OBSCN,YIPF5
TCEAL4,WNK1,ABI3,C5AR2,SMYD4,TPM1,MYL9,ZNF330,URB2,SREBF1
RPL39L,AC092295.7,EIF1B,ALOX12,STRA13,CARS,PRPF8,SLC6A6,C18orf21,CDC40
C12orf45,NPRL2,SMARCC2,REPS2,TRPV2,PPP1R8,ZFYVE28,ARAP1,ZNF397,RNF187
CPSF3L,ZCCHC10,RP11-473I1.5,AC147651.3,NBR1,CNEP1R1,ORMDL2,OARD1,GNPAT,NKTR
CHD2,TMEM234,BRAT1,AP4B1-AS1,PPP1R2,ARRDC4,RPL7L1,FAM127A,PIGU,TTC3
TIMM22,F5,LYSMD4,FOSL2,CHD7,ZCCHC9,UBE2D3,TNFSF10,AAR2,NIT1
SYCE1,YTHDC1,JAZF1,CLEC10A,CEP164,S100B,SMC2,RP11-532F6.3,ZNF121,DDB2
SERPINE2,YEATS2,PAWR,TMTC2,TNK1,ARSG,CWC27,ITPA,ZBTB41,EDC3
ODC1,USP38,URB2,PLCL1,FANCI,TMEM14B,NOP58,MPHOSPH10,RETN,TAOK3
DESI1,ALG5,FRMPD3,UBE2C,TRIM16L,PDCD2L,DYNLT1,DEDD,PYGO2,RP11-66N24.3
RP11-950C14.3,OARD1,SCGB3A1,AP001189.4,PPIE,NUDT5,RAD51B,EFCAB14,SIRT6,TMEM80
CTB-152G17.6,BZRAP1-AS1,MDS2,RP11-701P16.5,PCNA,QRICH1,RP11-141B14.1,RAB11B,AIM2,LSM14B
CTNNB1,LZTS2,PDZD4,ENKUR,RP5-821D11.7,RP1-111C20.4,KIF5B,ACOT13,ATP8B3,GGA2
SDCCAG8,TMEM18,C1QC,SYTL4,PGRMC2,PRRG4,OXLD1,ARHGAP18,MUM1,TYW5
ARL16,AHSA1,SYTL4,TNFRSF9,PLA2G4C,GNG11,STK32C,SYCE1,FCRL6,MLTK
CEP128,IL27RA,TREML1,FOLR3,DTX3,DENND1C,YWHAE,TLE4,ELANE,LUC7L
ATG4C,DDX56,ZBTB41,RAMP1,NFAT5,ACADVL,PDK2,NME6,GZMM,ATPAF1
SIAH2,IQCH-AS1,ATAD3C,TUBG2,ATP5SL,ZSWIM6,UBE2K,TNFRSF9,LSM14B,NAPA-AS1
LYSMD4,MCUR1,TREML2,RAB38,GP1BA,ARID4A,PPIL2,RNF168,CD247,NAA25
RP11-421L21.3,RBPJ,RP11-141B14.1,GPR84,PRDX1,TMEM18,RP11-493L12.4,TBCK,RP4-800J21.3,FAM98A
USP38,TPM1,FAM212A,CTD-2302E22.4,CARS,CRTC2,CTD-2302E22.4,FZD3,KIAA0040,F13A1
HIST1H2BJ,C4orf33,LRRIQ3,TRPM4,CECR5,ATP6V1C1,RP11-252A24.3,PRPS2,STAU1,MTRF1
DOCK10,PACSIN2,C3orf18,SEPT4,KIF3A,SURF1,TTC8,CITED4,LINC00494,MVB12A
RBM26-AS1,RP1-28O10.1,RP11-493L12.4,CYB561,RBM5,PPIL2,PHACTR4,DNAJA3,DHX9,RP11-111M22.3
ZMAT5,SLC12A4,PTGDR2,SCGB3A1,SNHG8,SNRNP27,EMB,STMN1,NCF2,CXXC1
STX18,NDUFAF4,LYPD2,KLRB1,ADSL,ZNF467,SLC39A1,SLC12A4,TTPAL,ZNF232
GZMM,IDO1,RP4-612B15.3,SENCR,TRIM23,TMEM50A,URGCP,C5orf15,BLCAP,DNAJA3
STMN1,ZNF212,CTB-152G17.6,CLEC1B,HOMER2,CCDC69,RBM5,HSPB11,OSBPL1A,CAPZA2
NAA20,TMEM222,ARHGAP6,SERPINF1,KIF3C,KIF5B,PIGX,CDC42BPB,RALBP1,GRPEL1
PPIL4,KIF3C,TAL1,LSM14B,MUM1,SEC31A,MVB12A,GGNBP2,RP13-270P17.3,DENND1C
